Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Precision,Recall
1,1.5498161315917969,2.688997745513916,0.4343000054359436,0.10000000149011612,0.642489492893219,0.24466000497341156
2,1.0936681032180786,2.609668731689453,0.6126000285148621,0.10000000149011612,0.7499611377716064,0.48212000727653503
3,0.8787756562232971,2.1931300163269043,0.6968399882316589,0.3172000050544739,0.7973448038101196,0.6029999852180481
4,0.73732590675354,3.9302170276641846,0.7438600063323975,0.4650000035762787,0.8277045488357544,0.6705399751663208
5,0.6348269581794739,3.3463006019592285,0.7811400294303894,0.4724000096321106,0.8488344550132751,0.7210000157356262
6,0.5511060953140259,3.7428979873657227,0.8098199963569641,0.4722000062465668,0.8645219802856445,0.7605199813842773
7,0.48387688398361206,1.8805146217346191,0.8334000110626221,0.65420001745224,0.8792870044708252,0.7932400107383728
8,0.4268174171447754,2.031409978866577,0.852940022945404,0.6269000172615051,0.8905155658721924,0.8187400102615356
9,0.3706989288330078,1.5076146125793457,0.871720016002655,0.7052000164985657,0.9031016230583191,0.8443999886512756
10,0.3286839723587036,1.3885077238082886,0.8848400115966797,0.692799985408783,0.9107346534729004,0.8623200058937073
11,0.288065642118454,1.226714015007019,0.8988400101661682,0.741599977016449,0.9213801026344299,0.8796600103378296
12,0.2488495260477066,1.7184209823608398,0.9123799800872803,0.6771000027656555,0.9293102622032166,0.898419976234436
13,0.22284792363643646,1.230833888053894,0.9211999773979187,0.7682999968528748,0.934791088104248,0.9079999923706055
14,0.19851137697696686,1.3761684894561768,0.9295799732208252,0.7487000226974487,0.9412270784378052,0.9186000227928162
15,0.17139942944049835,1.013792634010315,0.9383599758148193,0.7694000005722046,0.9481880068778992,0.930400013923645
16,0.15466050803661346,2.2973930835723877,0.9458000063896179,0.6672999858856201,0.9542822241783142,0.939300000667572
17,0.14509016275405884,1.1708459854125977,0.9483799934387207,0.774399995803833,0.9552459716796875,0.9421399831771851
18,0.132413849234581,1.0939098596572876,0.9533799886703491,0.7840999960899353,0.9589331746101379,0.9484999775886536
19,0.123591847717762,1.2789825201034546,0.955780029296875,0.7738000154495239,0.9608626961708069,0.9516000151634216
20,0.1117500439286232,1.217468500137329,0.9601799845695496,0.7810999751091003,0.9643786549568176,0.9562199711799622
21,0.10827501863241196,1.182862639427185,0.9622799754142761,0.7842000126838684,0.9663938283920288,0.9587399959564209
22,0.10026975721120834,1.6272488832473755,0.9646000266075134,0.7562000155448914,0.9689830541610718,0.9615799784660339
23,0.0954967811703682,1.125866174697876,0.9660999774932861,0.7915999889373779,0.9694341421127319,0.9635400176048279
24,0.0876319482922554,1.1814708709716797,0.9683399796485901,0.7982000112533569,0.9714694023132324,0.9656599760055542
25,0.08815012872219086,1.180948257446289,0.9686999917030334,0.795199990272522,0.9716871380805969,0.9664400219917297
26,0.0812930315732956,1.0804200172424316,0.9718000292778015,0.8009999990463257,0.9742590188980103,0.9696800112724304
27,0.07991582155227661,1.4141660928726196,0.9720799922943115,0.7591999769210815,0.9747428297996521,0.9702200293540955
28,0.07402215152978897,1.2638686895370483,0.9744399785995483,0.7897999882698059,0.9766414165496826,0.9725199937820435
29,0.07119116187095642,1.0319589376449585,0.9744799733161926,0.8087000250816345,0.9766680598258972,0.972819983959198
30,0.06744807958602905,1.223197102546692,0.9751999974250793,0.7910000085830688,0.9772512912750244,0.9734399914741516
31,0.0691734179854393,1.0637094974517822,0.9763000011444092,0.8137999773025513,0.9785807728767395,0.9749600291252136
32,0.06246998906135559,1.1339061260223389,0.9783400297164917,0.8086000084877014,0.9798182249069214,0.9768199920654297
33,0.06508999317884445,1.2046501636505127,0.9774199724197388,0.7944999933242798,0.979484498500824,0.9758800268173218
34,0.06130250543355942,1.0760356187820435,0.9787399768829346,0.8151000142097473,0.9803445935249329,0.9775800108909607
35,0.056292105466127396,0.9971310496330261,0.9803599715232849,0.8241000175476074,0.98199462890625,0.9795200228691101
36,0.057128068059682846,1.1230241060256958,0.9797800183296204,0.8097000122070312,0.9810110330581665,0.9784799814224243
37,0.05336366221308708,1.2198562622070312,0.9807800054550171,0.800000011920929,0.9820135831832886,0.9794800281524658
38,0.04943277686834335,1.146194338798523,0.9825800061225891,0.8179000020027161,0.9837008714675903,0.9813399910926819
39,0.053540006279945374,0.9906727075576782,0.981939971446991,0.8259000182151794,0.9830420017242432,0.9808400273323059
40,0.04748088866472244,1.1717875003814697,0.9832800030708313,0.8122000098228455,0.984270453453064,0.982420027256012
41,0.04987484589219093,1.1734238862991333,0.9818000197410583,0.8090999722480774,0.9831782579421997,0.9807400107383728
42,0.04818444326519966,1.2032232284545898,0.9838600158691406,0.8098999857902527,0.9849684238433838,0.9829000234603882
43,0.0441795289516449,1.3001545667648315,0.9848200082778931,0.7968999743461609,0.9857137203216553,0.9839000105857849
44,0.04724317416548729,1.1804763078689575,0.983780026435852,0.8180000185966492,0.9846915006637573,0.9828600287437439
45,0.03900299593806267,1.0977530479431152,0.9865999817848206,0.8219000101089478,0.9874616861343384,0.986020028591156
46,0.046269409358501434,1.2007970809936523,0.9843999743461609,0.8098000288009644,0.9853940010070801,0.9836400151252747
47,0.04025920480489731,1.1357382535934448,0.9860000014305115,0.808899998664856,0.9868602752685547,0.9853799939155579
48,0.042499296367168427,1.3349025249481201,0.985040009021759,0.803600013256073,0.9861926436424255,0.9842399954795837
49,0.039335958659648895,1.1421338319778442,0.9860000014305115,0.8097000122070312,0.9869006276130676,0.9854400157928467
50,0.03913531079888344,1.2373473644256592,0.9866999983787537,0.8162999749183655,0.9874221682548523,0.986020028591156
51,0.038105327636003494,1.7668070793151855,0.9868000149726868,0.7610999941825867,0.9875032305717468,0.9861800074577332
52,0.03511098399758339,1.1170347929000854,0.988099992275238,0.8172000050544739,0.9886274933815002,0.9875400066375732
53,0.03818822279572487,1.113278865814209,0.9864000082015991,0.8255000114440918,0.9873009324073792,0.9858199954032898
54,0.03457963839173317,1.1698716878890991,0.9883400201797485,0.817300021648407,0.9889858961105347,0.9877200126647949
55,0.0357823483645916,1.3076707124710083,0.9877399802207947,0.8073999881744385,0.9885025024414062,0.9869999885559082
56,0.03307582065463066,1.1518511772155762,0.9886999726295471,0.822700023651123,0.9893263578414917,0.9880599975585938
57,0.03615131229162216,1.353787899017334,0.9874799847602844,0.7950000166893005,0.9881662726402283,0.9870200157165527
58,0.03132159635424614,1.1535038948059082,0.9891600012779236,0.8133999705314636,0.9897869229316711,0.9885200262069702
59,0.03163684532046318,1.1871651411056519,0.9889000058174133,0.8163999915122986,0.9892905950546265,0.9884200096130371
60,0.03270801901817322,1.1999047994613647,0.989080011844635,0.8185999989509583,0.9896292090415955,0.9886000156402588
61,0.029294176027178764,1.1094497442245483,0.9902200102806091,0.8238000273704529,0.9905517101287842,0.9896799921989441
62,0.033124033361673355,1.1495819091796875,0.9886999726295471,0.8212000131607056,0.9890716671943665,0.988319993019104
63,0.028582874685525894,1.2917125225067139,0.9897800087928772,0.8105999827384949,0.9902512431144714,0.989359974861145
64,0.027470843866467476,1.2251368761062622,0.9900000095367432,0.82669997215271,0.9907090663909912,0.9895399808883667
65,0.03311075642704964,1.1216535568237305,0.9887800216674805,0.8245999813079834,0.9893900156021118,0.9884600043296814
66,0.025760704651474953,1.2532668113708496,0.9907199740409851,0.8192999958992004,0.9911136031150818,0.9904000163078308
67,0.027459360659122467,1.2634038925170898,0.990880012512207,0.814300000667572,0.9913511872291565,0.990339994430542
68,0.028501201421022415,1.1769700050354004,0.9900400042533875,0.8223000168800354,0.9906100630760193,0.9895600080490112
69,0.030076488852500916,1.197295904159546,0.9896199703216553,0.8224999904632568,0.9901309013366699,0.9892200231552124
70,0.025583814829587936,1.1927083730697632,0.9916399717330933,0.8194000124931335,0.9920337796211243,0.9912599921226501
71,0.02421991340816021,1.1442986726760864,0.9918000102043152,0.8324000239372253,0.9921543598175049,0.9914399981498718
72,0.028249036520719528,1.1355984210968018,0.9907000064849854,0.8223000168800354,0.9910722970962524,0.9902200102806091
73,0.02627287432551384,1.4113351106643677,0.9910200238227844,0.8068000078201294,0.9914138317108154,0.9907000064849854
74,0.02316385507583618,1.2243971824645996,0.9916399717330933,0.8241000175476074,0.9920738339424133,0.9912999868392944
75,0.025777937844395638,1.1955794095993042,0.9911199808120728,0.8270999789237976,0.9915342330932617,0.9908599853515625
76,0.026242073625326157,1.1243492364883423,0.9909999966621399,0.8288999795913696,0.99123615026474,0.9908000230789185
77,0.02524360455572605,1.2615139484405518,0.9915199875831604,0.8169999718666077,0.9917945861816406,0.9911400079727173
78,0.024869734421372414,1.0963928699493408,0.9915800094604492,0.8325999975204468,0.9920342564582825,0.991320013999939
79,0.02314985729753971,1.3120495080947876,0.9921000003814697,0.8129000067710876,0.9923951625823975,0.9917600154876709
80,0.021035583689808846,1.225949764251709,0.992579996585846,0.8285999894142151,0.9928560256958008,0.9922999739646912
81,0.022806499153375626,1.1952584981918335,0.9919400215148926,0.8233000040054321,0.9923532605171204,0.9914799928665161
82,0.023828312754631042,1.230107069015503,0.9919400215148926,0.8319000005722046,0.9924130439758301,0.9915000200271606
83,0.020539740100502968,1.2287962436676025,0.9933800101280212,0.826200008392334,0.9937358498573303,0.9930800199508667
84,0.02431812882423401,1.1984387636184692,0.9916599988937378,0.8248000144958496,0.9921122789382935,0.9911400079727173
85,0.02008853852748871,1.1743987798690796,0.9932399988174438,0.826200008392334,0.9935564994812012,0.9930199980735779
86,0.0214246679097414,1.2955060005187988,0.9927399754524231,0.819100022315979,0.993195116519928,0.9924799799919128
87,0.0242210291326046,1.1172548532485962,0.9916800260543823,0.8335000276565552,0.9920145869255066,0.9913399815559387
88,0.019394822418689728,1.1883370876312256,0.9933199882507324,0.833899974822998,0.9936363101005554,0.9930599927902222
89,0.019695976749062538,1.2665201425552368,0.9934200048446655,0.8320000171661377,0.9936356544494629,0.9929599761962891
90,0.020922597497701645,1.2058863639831543,0.9930400252342224,0.8274999856948853,0.9932970404624939,0.9928600192070007
91,0.020031001418828964,1.250138521194458,0.9933800101280212,0.8263000249862671,0.9936564564704895,0.9930999875068665
92,0.022076716646552086,1.2628552913665771,0.9930800199508667,0.8216000199317932,0.9932965040206909,0.9927800297737122
93,0.018708227202296257,1.2622045278549194,0.9938799738883972,0.8194000124931335,0.9939981698989868,0.9937000274658203
94,0.02040768601000309,1.1771461963653564,0.9925199747085571,0.8323000073432922,0.9927968382835388,0.99235999584198
95,0.020678099244832993,1.1671050786972046,0.9927600026130676,0.8360000252723694,0.9929564595222473,0.9924600124359131
96,0.018081167712807655,1.446596622467041,0.9938600063323975,0.8033000230789185,0.9941374063491821,0.9937000274658203
97,0.019319450482726097,1.1541483402252197,0.993340015411377,0.8313999772071838,0.9935762882232666,0.9929999709129333
98,0.018047625198960304,1.2814100980758667,0.9937800168991089,0.8222000002861023,0.9940179586410522,0.9936800003051758
99,0.0171186700463295,1.163124680519104,0.9937400221824646,0.8353000283241272,0.9939379096031189,0.9936000108718872
100,0.019336186349391937,1.1535879373550415,0.993399977684021,0.8403000235557556,0.9935573935508728,0.9931600093841553
